Date,Open,High,Low,Close,Adj Close,Volume
2024-12-06,179.10,180.50,178.00,179.80,179.80,1300000
2024-12-07,179.90,181.00,178.40,179.60,179.60,1200000
2024-12-08,180.00,182.10,179.50,181.20,181.20,1250000
2024-12-09,181.50,183.00,180.20,182.80,182.80,1150000
2024-12-10,182.70,184.00,181.50,183.10,183.10,1300000
2024-12-11,183.20,184.80,182.00,183.90,183.90,1400000
2024-12-12,184.00,185.30,183.10,184.60,184.60,1250000
2024-12-13,184.70,185.90,183.40,185.00,185.00,1200000
2024-12-14,185.30,186.60,184.50,185.70,185.70,1300000
2024-12-15,185.90,187.20,184.80,186.40,186.40,1350000
2024-12-16,186.50,188.00,185.60,187.00,187.00,1400000
2024-12-17,187.20,188.50,186.30,187.80,187.80,1450000
2024-12-18,188.00,189.00,187.40,188.20,188.20,1300000
2024-12-19,188.50,189.60,187.80,189.10,189.10,1250000
2024-12-20,189.20,190.40,188.50,189.60,189.60,1300000
2024-12-21,189.80,191.00,188.80,190.10,190.10,1350000
2024-12-22,190.20,191.50,189.10,190.90,190.90,1400000
2024-12-23,190.80,192.00,189.60,191.30,191.30,1450000
2024-12-24,191.50,192.30,190.40,191.90,191.90,1400000
2024-12-25,191.80,193.00,190.60,192.50,192.50,1350000
2024-12-26,192.70,194.00,191.50,193.30,193.30,1300000
